experiment,condition,runs,final_gen,mean_final_best,std_final_best,mean_final_avg,std_final_avg,mean_best_gain,mean_avg_gain
architecture,1x16_mutation_0.05,5,24,244.99271968206955,9.78549052018704,241.9461446440283,9.36567754893213,72.31407201897889,116.35356838165414
architecture,1x16_mutation_0.20,5,24,259.68341213378073,2.2521463294188084,256.7100604901158,2.4082205073501597,87.00476447069002,131.11748422774158
architecture,2x16_mutation_0.05,5,24,258.16677982697246,3.301762264631296,255.34314609292306,3.1589053342489337,91.89114912172802,139.8554488973191
architecture,2x16_mutation_0.20,5,24,262.6523725288245,0.9397948574507008,258.862324350246,1.1855677823470525,96.3767418235801,143.37462715464207
architecture,2x32_mutation_0.05,5,24,241.66195515983526,31.82024202475559,237.69142139640167,31.67194175068734,73.80013521700828,114.10417601243648
architecture,2x32_mutation_0.20,5,24,259.2255728727468,2.6467434907753473,253.9839851966361,2.414113738044595,91.36375292991981,130.39673981267092
architecture,32x16_mutation_0.05,5,24,252.33639049493326,4.723793995248591,248.78948714886693,5.292470588994722,85.19292651750307,124.11153624175329
architecture,32x16_mutation_0.20,5,24,260.04135559754155,3.9784776743318147,256.27772408027147,2.5522398039864744,92.89789162011134,131.59977317315787
elite_tournament,elite_0.10_t3,5,24,259.6718242711705,3.9585311020021208,255.633016939141,3.499533837815797,86.99317660807989,130.04044067676688
elite_tournament,elite_0.10_t4,5,24,260.621989128957,2.9913630625869136,257.5685079406211,2.5640310958217887,87.94334146586634,131.97593167824692
elite_tournament,elite_0.10_t5,5,24,262.1003053045582,1.640219528054596,259.2884187311837,1.4458974744145714,89.42165764146755,133.6958424688095
elite_tournament,elite_0.20_t3,5,24,259.48875642706605,3.091137558295926,255.1688892323783,3.9555614339751792,86.81010876397538,129.57631297000412
elite_tournament,elite_0.20_t4,5,24,258.0079756588479,1.844851517246827,254.48303936419242,3.5719508202905748,85.32932799575725,128.89046310181826
elite_tournament,elite_0.20_t5,5,24,259.68341213378073,2.2521463294188084,256.7100604901158,2.4082205073501597,87.00476447069002,131.11748422774158
elite_tournament,elite_0.30_t3,5,24,257.30079504016214,4.205358902469023,253.00009947936752,3.837764109033774,84.6221473770715,127.40752321699333
elite_tournament,elite_0.30_t4,5,24,259.31165415087855,4.34677468561918,253.99485717403863,7.9230511333272196,86.63300648778788,128.4022809116645
elite_tournament,elite_0.30_t5,5,24,259.9070141973297,2.600902609404183,256.9590344779049,2.6542388724841772,87.22836653423909,131.3664582155307
input_pattern,default,5,24,259.68341213378073,2.2521463294188084,256.7100604901158,2.4082205073501597,87.00476447069002,131.11748422774158
input_pattern,mixed_positions,5,24,265.04989297000924,0.35475446940431216,262.9185626732946,0.3044433111544825,41.38972203857905,131.50461398291588
input_pattern,tower_pressure,5,24,265.2953685112094,0.35042886326879374,263.1519099935174,0.4035202056614003,31.012199364079095,133.013645595612
long_run,default_0.05_t3,5,36,250.87287867194064,6.857536366621652,248.25669634751293,8.009412234790402,78.19423100884995,122.6641200851388
long_run,fast_0.20_t5,5,36,263.6265771475086,0.5119035927310804,261.2727845842077,0.7447797519060735,90.94792948441795,135.68020832183356
mutation_fine,mutation_0.050,5,24,244.99271968206955,9.78549052018704,241.9461446440283,9.36567754893213,72.31407201897889,116.35356838165414
mutation_fine,mutation_0.075,5,24,252.7317701401711,6.226477475149824,249.32752697456232,6.962724082223835,80.05312247708042,123.73495071218812
mutation_fine,mutation_0.100,5,24,257.1505861054773,2.9923736217677837,253.8216980998872,4.375303255542909,84.47193844238666,128.229121837513
mutation_fine,mutation_0.125,5,24,256.2436743143911,4.4655867150471815,253.36058088916306,4.696478417640003,83.56502665130049,127.7680046267889
mutation_fine,mutation_0.150,5,24,258.0031442936625,3.62575612331887,253.77260405462766,3.805524535791463,85.32449663057182,128.1800277922535
mutation_fine,mutation_0.175,5,24,260.1721779075218,3.0190161273724807,256.6908244397214,3.529900114201014,87.49353024443118,131.09824817734724
mutation_fine,mutation_0.200,5,24,259.68341213378073,2.2521463294188084,256.7100604901158,2.4082205073501597,87.00476447069002,131.11748422774158
mutation_fine,mutation_0.250,5,24,260.67834532399354,2.6448031344471863,257.81481900219956,2.8394707891780975,87.99969766090287,132.2222427398254
mutation_fine,mutation_0.300,5,24,260.5039727168554,3.467430996916472,256.4328844456944,4.526783632090142,87.82532505376471,130.84030818332025
population_size,population_16,5,24,259.68341213378073,2.2521463294188084,256.7100604901158,2.4082205073501597,87.00476447069002,131.11748422774158
population_size,population_24,5,24,261.46247632291295,1.8157534337998356,258.50296568098986,2.3825862606112707,87.34545077583229,135.10317562746133
population_size,population_32,5,24,263.61026178491744,0.22680265604317418,259.56013851672265,0.862990000982054,89.49323623783673,135.85103291196197
population_size,population_8,5,24,254.64250598730982,8.259973112217791,251.21880686752843,9.643678092108374,84.8087766570407,126.10024987439422
seed_repeat,default_0.05_t3,5,24,235.80186452454268,11.942399412798647,231.96119422840098,11.728219720485992,63.12321686145201,106.36861796602682
seed_repeat,fast_avg_0.20_t5,5,24,259.68341213378073,2.2521463294188084,256.7100604901158,2.4082205073501597,87.00476447069002,131.11748422774158
seed_repeat,fast_best_0.20_t3,5,24,259.48875642706605,3.091137558295926,255.1688892323783,3.9555614339751792,86.81010876397538,129.57631297000412
seed_repeat,middle_0.10_t5,5,24,257.1505861054773,2.9923736217677837,253.8216980998872,4.375303255542909,84.47193844238666,128.229121837513
weight_profile,aggressive,5,24,302.01351729512453,1.8692701916007828,299.38540512788217,2.1967612636141145,101.547883486427,150.95197306597126
weight_profile,baseline,5,24,259.68341213378073,2.2521463294188084,256.7100604901158,2.4082205073501597,87.00476447069002,131.11748422774158
weight_profile,distance_focus,5,24,286.8868263145827,3.1202341969906353,282.828486003748,2.1099506939729107,97.90447931618601,147.93167560320427
weight_profile,survival_focus,5,24,245.1132831539362,2.4587564266310853,238.88503789350892,1.8057325681520746,81.00992247800049,123.1730163537441
